	OS052	OS152	OS186	OS457	OS525	OS526	OS384	OS742	OS766	OS774	OS833	SJSA	U2OS	MG63	MG63.3	SaOS2	HuO9	HOS	c143B
A1BG.AS1	3.353200612	0.84340004	2.143605093	2.7849508	3.475323623	3.110702337	3.953130113	2.184157101	2.225008688	0.628683705	0.905117868	3.958728961	3.032328833	3.173135538	2.951666051	0.025645367	0.069240538	2.387674106	1.886068769
A2M	10.23468256	8.583707914	10.90632323	1.351418667	11.88751823	0.743251117	1.212345736	3.840739238	2.823720123	9.181640772	1.300446894	2.451077558	3.445150846	0	0	5.939860522	4.939941167	0	0.716173097
A4GALT	1.438348106	4.459340661	0.253020978	5.76161288	2.229193301	2.457583486	6.213257803	1.577722557	0.347362212	1.770693191	1.285333618	5.157377251	2.037091096	5.367480136	4.701880222	0.281216772	4.578090534	3.783978496	2.362500214
AAAS	6.178943247	4.957483249	6.332482554	5.630717762	5.778334295	6.055766507	7.953438848	6.358492249	5.20867513	5.633814462	6.30478645	5.819548048	6.654974487	6.939740234	6.955422674	5.564013323	5.872727949	6.246242433	5.974738921
AACS	3.45819908	4.818456272	5.041506224	4.126773021	5.801419298	4.903504123	6.342651244	5.456590482	4.529583285	4.089202139	4.895949631	5.763897814	5.539783227	4.538008911	4.227363272	5.511095256	6.616533452	5.023330785	4.214930831
AADAT	3.220186971	3.866861297	3.717755245	2.75275153	3.432589761	3.532433387	2.251949161	5.450366317	5.564526848	4.792648018	2.536012152	2.991063996	3.516976128	2.056929308	2.749365104	3.573428836	4.392993618	3.135195923	3.859675864
AAGAB	5.636461843	5.932906265	5.717845664	5.494884819	5.155604868	5.704452823	5.173622984	5.956732976	5.993316402	6.6311859	6.40257358	6.342479605	6.793979633	6.3143489	6.133688745	6.048618402	5.885382299	6.687182079	6.731960343
AAK1	5.946950658	6.691042783	6.273822377	6.416618194	6.177011793	7.05574954	5.633434976	6.009546992	5.974701258	6.60444345	4.794187682	6.649337366	6.102017172	5.056982046	5.322734649	7.272014053	6.028618696	4.999664495	5.439894524
AAMDC	3.274872639	4.337104277	2.493838838	3.639202606	3.779622415	3.575359062	3.563081378	2.946942644	3.364750731	3.997627781	3.847843933	3.773027545	3.590952228	3.59413671	3.452537804	4.322724563	3.850183047	2.950030328	2.105467838
AAMP	6.856556805	7.124778314	6.50860342	6.056668877	5.908422445	6.406946212	8.025531761	6.584185909	6.122008615	7.049205792	7.460495639	7.630550753	7.024516647	7.570501666	7.387637243	7.484139942	5.362561088	7.877638746	7.434393076
AAR2	5.853475817	5.312275161	5.394230443	5.28276273	5.135761498	5.334972646	6.805137568	5.612445483	4.598752064	4.594907851	5.284958552	6.041914716	5.675445934	6.131297894	6.142981958	4.09185028	5.517691538	6.336725015	5.933183812
AARS1	8.33482028	8.329407159	7.894557415	8.997406276	8.472269937	8.692234788	9.359815918	8.525356766	8.091826925	8.480336623	8.649316586	7.69599013	8.026290927	8.392487342	8.045917028	8.212480535	7.888672298	8.733347765	7.949010777
AARS2	6.650605095	3.985772843	6.014809247	4.20421976	6.469469476	4.824369015	7.537420663	5.634574014	4.85092176	6.232389693	5.487546886	5.099513116	5.297882414	7.737862714	7.09529786	5.492824066	4.99991219	5.831314583	5.672845369
AASDH	2.85264508	3.838355389	3.638545293	3.813738175	4.682019338	3.480146081	1.478996794	4.027925761	3.951745211	3.449137616	3.885914675	2.451077558	3.303396672	2.415914021	2.764265245	3.267042799	4.548085812	2.670614703	3.676380909
AASDHPPT	3.444633012	5.20956804	5.388189682	5.046877837	5.562441338	4.852687362	1.152546466	7.074647622	5.651742326	5.024158923	6.577161971	3.191849384	4.685980051	4.471611375	4.859358069	4.314945514	5.365144743	4.574626253	5.576804287
AASS	4.862039919	4.478743134	4.896607794	3.742287511	5.416570069	3.44254931	1.618141258	5.526302465	5.369318665	4.449222266	2.19149717	3.37709426	3.3727914	2.047843098	0.049496568	4.353427973	5.108751445	4.654739953	3.962401755
AATF	6.799081546	5.983587145	6.329333249	6.437363038	4.750837215	6.05603715	6.847005284	5.882394858	6.709775385	7.370541626	6.795562047	7.023284163	7.35299276	7.390835354	7.869179684	6.584444653	6.75200894	7.085125442	7.227529792
ABAT	0.964573351	1.241936598	0.95793281	2.314817118	3.542631443	2.890436345	2.581669134	1.687638606	2.421080026	1.26956999	0.573068009	3.779845298	3.930430629	1.032071031	0.049496568	0.442225832	2.594389569	1.413060754	2.117390839
ABCA1	2.576076655	2.727260276	6.366678622	3.300623587	3.784264922	4.480851527	1.3781705	4.627914317	6.975720959	2.017693174	5.110510168	3.861384286	1.403130103	2.195026348	1.174108665	0.516457716	5.78925718	0.105130404	1.50547185
ABCA2	7.141624838	6.965280425	6.23610151	5.646284116	6.734273433	5.027925373	6.888837955	6.192214627	6.826260499	6.464979786	6.343150151	1.878383651	5.601657616	7.318302933	6.215925767	5.179597514	7.055080642	5.313916778	4.276042152
ABCA3	0.670354949	6.924149449	7.625186457	0.25421424	5.995744055	0.262658126	0.556215974	3.968188703	8.733941533	5.81151007	6.021559508	0.030810262	2.06131588	3.767428604	2.211008387	0.147449575	6.899210733	5.616953476	5.149662833
ABCA5	2.38688177	4.676540766	3.488514341	4.947487772	4.359007479	4.109528974	0.645691452	4.71096483	4.429853256	5.317156995	3.095294308	2.126765459	1.311845718	1.95368757	1.645760421	3.083872541	4.062464916	0.873031754	1.203823254
ABCA7	3.875861665	4.735530322	3.247729422	4.665611427	4.850121228	5.354908101	4.52450682	3.67980357	3.855541563	3.746849729	2.610663938	2.332429934	2.802542491	2.25941466	2.432390182	5.077548481	4.081443025	1.953258194	1.269409923
ABCB10	3.338605199	3.180600313	5.198497369	3.812697349	4.700966949	3.452452014	0.809539493	5.630450686	4.377277849	3.349589849	5.22681499	3.514236171	3.690087032	3.845536127	4.59342382	2.455159354	3.872146758	3.486053623	3.972283229
ABCB4	2.515727043	3.389793003	2.717050612	2.943602985	5.362750379	0.710615811	0.956662521	6.909214868	4.286275113	4.005825589	0.036563218	4.502843675	2.728836287	1.473230068	0.232069614	2.426567276	4.239992382	0.105130404	1.087416926
ABCB7	4.685864164	3.792574987	5.499359673	4.06079922	4.449470932	4.545503267	1.745038166	5.08295794	4.426813058	4.536690087	5.380502137	4.119651698	4.978748302	3.520510425	4.308383431	4.188676636	4.93183078	4.363046738	5.094936
ABCB8	5.430800915	5.560849282	5.27131757	5.807268185	4.558279581	5.477571778	5.708033004	4.976531473	3.554979133	4.256565095	5.382278899	5.352928769	3.404698893	5.96930033	5.3855159	4.769491329	5.985050757	4.537540388	4.135077789
ABCB9	3.845213046	3.458181817	4.032801049	3.908368044	4.005824066	4.015802314	5.010558504	4.056891622	3.855541563	2.58650261	4.183614061	4.452527942	5.469112531	3.881781509	4.031892768	3.963386018	3.3356239	2.507586541	2.541301401
ABCC1	6.24475605	6.162458071	6.71442649	5.671764851	5.828642377	6.148027703	6.462928207	7.248828827	7.000981939	6.477560615	7.4503684	7.624724427	5.723675984	8.337855262	8.065034249	6.859750488	5.902083935	6.433268562	5.929807114
ABCC10	5.341664589	4.96724645	4.812989028	4.687352908	6.619458756	5.239068799	7.411533002	4.563051619	4.917413086	5.549404098	4.648245895	4.784003139	3.395200523	4.10187872	3.645958737	4.480565825	5.617862876	4.833666592	4.320557009
ABCC3	2.600750675	7.897546773	1.146719981	7.106293437	1.134315852	5.92080841	6.005012769	0.462672139	0	3.228719603	1.99183962	5.300160104	4.839777956	3.927083434	2.918748961	3.785301289	0.135309586	0.539580347	0.532468313
ABCC4	4.212429835	5.197908173	5.351404118	6.650279821	5.101450467	5.310226951	2.03727296	6.038880465	6.420621696	5.612499466	6.591824575	3.458669117	4.446427201	5.664308313	5.059863856	4.426240939	0	4.415092216	5.701345177
ABCC5	6.247688471	5.366229235	6.633172162	5.227991198	6.116631307	4.673786327	4.748053773	6.269374772	7.124337545	6.012029481	7.235471338	5.371101576	5.434754985	5.36199209	5.307556902	4.437031914	6.275658441	4.714113441	5.605659114
ABCD1	5.320931043	4.108138086	4.059309157	4.639433894	3.41872281	6.660075502	6.288115274	1.666315146	3.800230864	2.412433741	2.142017086	4.551463565	4.001011198	5.303070872	6.22066002	5.305321321	4.178647324	3.436549517	1.477991701
ABCD3	5.104541501	5.638021553	4.954987702	5.839308687	5.759203619	6.600648519	2.133212866	5.885858273	5.83031573	6.045220119	5.030061698	4.28532534	5.285082401	5.020290082	5.651027608	6.053301522	6.49990162	4.574626253	5.041966081
ABCD4	5.75935594	4.250392936	4.192584083	5.160869679	6.722227104	3.934526433	5.498834837	5.355296856	4.568725541	4.834673149	4.391976598	4.696634038	5.468357852	4.433746762	4.05631217	4.849751051	6.215365634	5.163809906	5.233535252
ABCE1	5.020167927	7.173467339	7.613112249	5.733289689	6.134921396	7.059263983	3.917644018	8.833743844	7.647791795	8.01255959	7.912071805	5.821752043	5.701369118	5.653117513	6.221335076	6.542868364	6.471408329	6.702969767	7.717957219
ABCF1	7.866306359	6.853137658	7.195073681	7.344937292	7.191388973	6.992819041	7.759747423	6.954998013	7.255641641	8.613203403	7.593558842	7.557545064	7.626308433	7.513269867	7.153047291	8.179749268	6.83697906	8.336493275	7.75515894
ABCF2	7.404620422	6.889835519	7.48079775	6.342650117	5.545677607	6.981749851	7.865381376	7.441969252	6.111633134	7.018135481	7.869478015	7.578713701	5.708417083	7.549933548	7.365211403	6.688202625	6.425523155	6.794231152	6.995277324
ABCF3	6.646907664	5.622841148	5.57865954	5.36742383	5.579902855	5.006239712	6.900246063	5.468958827	6.410653739	5.325368407	6.404323383	6.165067491	6.060056288	6.744078065	6.517434439	5.879609613	5.096364885	5.887660222	5.824646291
ABHD10	4.250936291	5.294593057	4.548247867	3.818931071	4.320106399	4.674491585	2.163825581	5.153619406	5.366148044	5.117902313	5.704746756	4.231634558	4.610007878	4.323242578	4.768057467	4.900879635	4.800550833	4.200541214	5.317328059
ABHD11	3.571757012	3.277952022	3.625532843	3.90739332	3.231973104	3.1395933	4.565209567	3.332594304	2.266412767	3.44311312	4.104021135	4.248116523	3.72336172	3.530329635	3.978587121	3.531529201	3.571662107	3.66865234	3.955776304
ABHD12	5.716959244	5.759334322	5.163557392	5.453413918	6.232420594	6.521719358	6.56680365	4.757080985	5.437365426	4.193366937	4.356262718	7.139381346	6.178298643	5.167025179	4.956619417	7.492066654	5.953922588	6.169534611	5.207975747
ABHD13	2.347331048	3.097275604	2.934629086	4.692454569	4.703420131	4.232438906	0.956662521	4.29432872	4.217568908	3.65079356	2.395286907	3.809022164	2.899787295	2.947451746	3.337692996	3.071613957	3.363457215	2.721105526	3.631357199
ABHD14A	4.3963212	3.207985039	3.883079998	2.855379953	3.696683712	2.184104215	4.368979997	2.64293849	3.800230864	2.608202276	1.749069412	2.872753043	3.048577047	2.922813199	3.266219992	4.493259013	3.270963326	2.600421465	2.258665662
ABHD14B	5.186291391	5.57368817	6.196111037	5.495857836	3.743524681	4.771292441	6.469069767	3.4051868	5.542224734	4.749361889	5.427722981	5.39646073	6.804781516	5.643348104	5.803967351	4.540721963	3.981709818	5.576389518	6.147119419
ABHD15	4.837595305	3.75858387	3.442617772	3.480478375	3.912783055	3.855877762	5.303025558	3.700930042	4.145426339	2.681679494	4.664399038	4.335547848	4.289505024	4.47839034	4.485168258	4.067364996	5.661957587	2.769888882	1.814634822
ABHD17A	6.089971784	5.91965714	5.378803925	6.36572055	4.770468434	5.595095241	7.519038659	4.96566217	5.264234366	5.809169878	5.699055531	6.341711873	5.200358049	5.334234271	5.451444155	5.714004623	5.462459902	5.736317836	5.290592647
ABHD17B	3.344095797	2.961356377	3.502816817	3.263016256	2.467212917	3.447509159	1.898542395	4.301262119	3.480697121	2.530781057	4.973431006	1.976604764	3.198086684	2.144776217	2.335949823	3.79092031	3.479284279	4.083198832	3.610417964
ABHD17C	3.216200374	3.013283736	3.599150463	4.648212621	2.777721237	2.583080121	2.251949161	4.297799584	3.698021153	3.400222177	4.274434239	2.332429934	3.599248883	2.30588751	2.938589202	2.306171367	4.43786439	3.990187642	3.825559662
ABHD18	2.770752785	2.782951606	3.589610029	3.062206538	4.413963304	3.638889985	1.429464279	3.234584951	3.549398964	3.228719603	3.507122228	2.597187454	2.169278707	1.821311236	2.211008387	2.979480278	2.611899637	2.892446722	3.316688364
ABHD2	7.489751574	7.935853789	5.298510061	7.429779359	5.803326478	7.747536999	6.493377855	5.499423592	4.312866873	5.597660566	6.219399519	6.49837928	6.273824008	6.469980872	6.658199808	6.372518611	6.522452208	5.686365885	5.726862868
ABHD3	4.480164076	3.351714766	2.244323293	4.168865814	5.14601792	3.018166092	0.956662521	3.569265435	4.348648221	4.656085143	3.262829561	4.061155574	3.179762671	1.269447908	2.345889185	2.764046321	3.891393243	2.526637583	3.186921308
ABHD4	7.589625909	7.035611231	5.640952013	6.613547042	6.326135488	6.387291609	7.957812926	6.093821381	5.304543238	6.072795182	4.622920684	5.83053451	6.061558225	5.01563727	4.485168258	6.997542447	7.140004895	6.224530579	4.457004897
ABHD5	3.655105265	3.847090878	2.821811611	4.59229657	3.533468817	4.172791699	3.662900991	3.160263646	3.737816673	3.484765655	2.776568669	3.153865804	4.286082939	3.018939032	3.58851416	4.339436639	4.254929567	3.159809802	4.168411139
ABHD6	3.991166537	3.6881004	1.665665136	3.275157593	3.835861671	2.916903021	3.795887853	2.990490102	3.396177762	2.818278578	1.300446894	3.478361963	3.310151385	2.990767749	3.347620397	2.464565495	4.001772962	2.408364495	2.967356497
ABHD8	1.505221764	3.759906137	1.217804159	5.659949115	3.135956875	4.681525275	5.663203018	1.0614405	1.266956788	0.628683705	0.387374539	2.51784822	4.41856814	2.765431945	0.468782456	4.960266666	4.323842744	3.685702751	2.796197179
ABI1	5.342121967	6.180097346	5.563144444	4.628236935	5.489454492	5.684985424	4.626937576	4.789493561	6.033843071	5.969699654	6.166765689	5.614905282	5.85765842	4.934153381	5.032431028	5.581950376	6.565774161	5.023330785	5.497481937
ABI2	5.990198259	6.186257373	6.152714581	5.398280248	6.484048857	5.98929823	5.031459673	6.484150619	5.761998003	6.191647195	5.851774131	6.489742073	6.726466216	5.80442548	5.662008973	6.94096505	5.492704855	6.054465014	6.615675142
ABITRAM	4.215428635	4.158134759	4.306451129	4.336836728	3.946310459	4.492896637	1.661692254	5.000159539	4.302952312	4.964421855	4.838866511	3.392003598	3.610237388	3.992475854	3.858751189	3.862043216	3.94763848	3.941332226	4.176981601
ABL1	7.815497923	7.011667995	6.500989697	7.258141428	6.749586965	7.99922824	9.294526648	6.417912382	6.563115335	7.957358317	8.065228112	7.425014129	7.532490322	8.406105905	7.45548047	8.042127569	7.049737004	7.50031775	6.336899012
ABL2	6.067743415	6.920902321	5.81110291	7.02189745	5.71854787	6.823991452	5.603039749	6.413119792	6.01473478	6.323752945	6.302911578	6.19598056	6.844001481	6.49985594	6.388133398	6.092885095	4.685357794	5.985570476	6.418068082
ABLIM1	4.363354531	2.806176567	5.702437273	5.580540953	6.700286943	5.957779101	4.470428508	4.602879401	5.172831712	5.253174266	5.48506868	6.540137188	8.07233829	6.111265999	5.54716564	5.840859365	6.653288093	5.870986385	6.340400312
ABLIM3	3.695756532	4.626679064	1.942438894	9.411981325	2.1924083	4.72846596	6.767012054	2.228478987	0.125312706	1.770693191	0	8.227806131	4.103720613	7.221872284	7.778518409	1.444537191	1.800245161	2.061723507	3.084352276
ABR	6.410713539	7.936292441	7.17941801	5.762691206	7.337791853	6.031748897	8.700416989	7.096235795	6.791228303	6.6593917	6.072520484	6.078779363	6.23973442	6.826417571	7.31833983	7.225571674	7.127124009	6.602179586	7.148935116
ABRACL	3.175716528	3.401701033	3.750659417	3.350245444	3.43061691	3.403946488	2.669626595	4.09728791	5.22801591	5.6832101	3.724406328	3.922219874	2.661762354	3.335016168	3.830713008	4.05340718	4.228687118	4.108708077	4.715143181
ABRAXAS1	1.872470303	3.675543946	4.323817893	3.517999932	3.404721278	3.890284118	1.526884991	2.768324837	4.535240477	3.547882769	3.064640342	2.473679554	3.336858355	1.821311236	2.384975701	2.725444211	2.668777674	2.301811085	3.521240829
ABRAXAS2	2.855210907	5.179745863	4.113572716	4.51888982	3.615647614	4.437468173	1.784972396	5.02759369	4.486432113	4.375217229	5.326155539	4.337089474	3.881382527	4.05049041	4.213858592	3.597141702	4.144964813	4.628526601	5.293222899
ABT1	5.482749533	4.595913323	5.201005752	4.39640777	4.999333747	4.439958979	5.948989538	5.102935789	4.174717672	5.586771961	5.446526594	5.729682011	4.497625732	5.001588117	5.111756944	5.209974776	4.803093745	6.678690799	6.422880074
ABTB1	4.159435058	4.849839865	3.862629236	4.288990453	4.149485103	2.627462825	5.962112413	1.974607325	2.345818085	2.64015181	2.59236	3.750066162	3.72336172	5.968096719	4.507478987	3.492979884	4.767078518	2.921525804	3.771880635
ABTB2	4.461761817	2.803614402	1.304335368	5.243522543	2.256179329	4.087456537	5.953377106	1.885146785	0.446760697	4.287155445	3.6614165	3.693420319	0.83804466	4.454523282	4.18922696	2.073942092	3.766661642	4.309053214	3.184089736
AC002316.1	5.399500758	5.265098269	6.656891015	3.899571728	1.439125666	2.424426179	7.501917831	2.008893975	3.182092742	5.907614362	5.670257687	4.886525348	5.963207539	5.825181351	6.553800211	0.050842813	1.335764149	5.985570476	6.807958866
AC004151.1	2.496132585	5.374021576	3.459476855	4.565977174	4.074396647	2.305626054	3.834457386	2.827154926	2.306661662	4.365693865	3.652609879	0.256130811	1.41571171	0.143387899	0.315364622	5.152209546	3.644367599	6.447083628	5.154733814
AC004453.1	2.469585664	1.698798787	2.431120875	0.703778248	0.695730639	1.034467226	3.443415203	1.4833317	2.939168896	3.368785812	2.698854249	1.424215912	1.817637667	2.101521293	1.841118083	2.431372147	2.198176477	2.935848464	2.247859043
AC004706.3	1.074355679	2.023397437	1.385968906	1.718941961	3.947690666	1.471043137	0.460822183	2.058842897	1.728562824	2.934491882	0.844542142	1.984495826	1.109877384	1.486741196	1.923072448	1.273134418	1.040563625	1.953258194	2.514501621
AC004803.1	2.272519275	1.148108733	1.651062675	2.383720513	2.711017051	1.215943677	2.307843064	0.306037576	1.604898197	0.967735911	1.855229278	1.458614671	2.529092517	2.662042415	2.285199157	1.240653829	2.338010638	1.530964752	1.468714089
AC004812.2	3.234053944	2.083774251	1.887437001	3.203907024	2.334234786	3.057626855	2.975987545	0.924455936	2.332883669	1.827297562	1.191170126	2.07596797	2.672286579	2.563475779	1.987981821	1.998244704	3.053265925	1.981148555	1.731743272
AC004943.2	4.570373317	3.264972669	1.995420652	4.307581125	4.865537338	4.13844321	4.802570943	2.609811959	2.030442139	3.976927115	3.037836936	3.551897673	3.763288878	3.087050647	3.234470451	3.56689347	3.107764348	3.374811273	4.066007639
AC004980.1	3.571757012	1.648286316	2.863576108	3.263016256	2.746341664	2.234713159	2.307843064	2.406208963	2.293369739	3.7221853	1.585957957	4.032897078	0.700854655	2.726100502	1.987981821	2.236503073	2.060425612	2.635944942	3.081311844
AC005034.4	1.03868179	2.444393805	3.714247588	2.43060962	2.42026314	2.858518389	0.460822183	4.287361839	4.049858811	2.985126295	3.191660664	0.994900491	1.547318155	1.651758193	1.987981821	1.672680413	3.54760059	1.773545495	2.105467838
AC005041.1	1.810358796	1.351241584	3.784503302	1.534278604	2.330007406	1.924335125	2.463599297	2.313235792	2.445319426	0.67053805	0.442912744	0.380951112	2.463953229	1.755861309	1.033589938	1.782053246	2.159008711	1.093475069	2.031783346
AC005224.3	1.424593185	1.399548288	1.583458421	1.858623222	1.11478989	2.664853448	4.078931841	2.042384659	1.346332978	1.650351833	1.634472923	1.492212312	0	0.30464595	0.957840828	2.080074521	1.98179944	3.084671355	3.321850038
AC005229.4	2.547804431	1.7635101	1.394760609	1.944755067	1.965953887	1.503157822	2.223168605	1.125345144	0.397917327	1.296551241	1.000746657	2.262759813	0.980353916	1.821311236	1.661763816	1.563113842	1.61583907	0.812223893	2.186930832
AC005261.1	4.6210055	3.09518194	3.55080459	3.941122813	3.382440589	3.855877762	2.463599297	4.989467457	4.759631853	4.096897109	4.131747271	4.224988686	4.186812488	4.273441917	3.978587121	4.34454011	4.418093913	3.905393977	3.81095003
AC005261.2	1.946528369	1.908865608	1.217804159	3.455355337	1.921691594	2.499579219	0.556215974	3.4051868	3.160292764	2.741812249	2.262673937	1.447239307	1.636012923	1.473230068	1.783775545	1.728403046	2.399796923	1.239183508	1.258683784
AC005332.4	2.905591826	3.097275604	1.966226867	3.348810078	2.008898526	2.279903996	2.511992806	0.812443905	2.238942495	1.650351833	0.963252308	1.290567812	2.802542491	2.511546432	1.783775545	2.45987009	1.917538488	1.413060754	1.708284727
AC005332.5	2.007773887	3.750624715	1.736539423	2.847270416	2.371733927	2.17216873	2.669626595	1.245242073	1.153834978	1.185459706	0.597747081	2.030956735	1.242914745	1.269447908	0.468782456	1.958852532	2.895402529	1.041441011	0.836463107
AC005332.6	4.6210055	5.482922138	4.203883662	5.451409063	5.185159947	4.668839839	5.569134243	3.950656588	5.403743198	3.542257602	3.099620757	5.779856192	5.152299741	4.691750236	3.515537727	5.782826111	5.65211786	4.286877	3.725894635
AC005670.3	4.357936878	2.993186333	3.750659417	4.33030575	4.225417088	2.863475041	5.072374952	2.685956201	4.474703774	3.400222177	3.019687287	4.17414414	3.674466753	4.070817423	3.758136701	3.034200567	3.535417651	3.83071485	3.404454833
AC005747.1	5.050710998	0.215786506	3.005219671	4.528431042	2.242749412	0.335813955	4.593595566	1.273721621	0.294971003	1.000924263	1.483741044	3.1433307	3.881382527	3.819077464	3.7431728	0	0.03503562	3.35363045	0.050623082
AC005912.1	4.382157691	3.074076471	4.490978499	1.579039123	1.643718226	1.176657598	2.772530167	1.903488192	2.538398789	1.881764645	1.905516623	2.196364466	2.077242666	2.484863568	2.460108477	2.603024555	3.053265925	4.02409843	2.635515801
AC006001.3	4.141678884	3.305377843	3.264614587	4.334663019	3.698324491	2.606920687	3.662900991	2.631980612	2.196730732	2.553328587	1.055222087	2.743866009	2.26277456	2.25941466	1.85510454	2.782966832	2.942296125	1.492724136	2.352446667
AC006001.4	2.550973288	1.830486041	1.658382381	1.959877555	1.736072005	1.298782422	1.429464279	2.213855798	1.896203564	2.519373754	1.443462058	2.288485361	1.918330997	1.675550062	1.798326265	2.347429831	2.060425612	2.687642074	2.739465794
AC006058.1	0.548816595	5.174797626	3.998605537	5.369194831	6.524381836	4.83323888	1.324985569	2.340416519	1.03108281	3.104443758	4.031148912	0.090524426	1.242914745	0.037205002	0	4.611230021	4.462202477	1.492724136	5.115145253
AC006064.4	2.48954151	1.631048015	0.233550546	0.416477792	0.513886064	0.721576478	1.784972396	0.130302251	0.06401651	0.064210732	1.634472923	3.153865804	3.142401297	3.759101802	3.352558598	3.739543429	0.817251339	3.625123307	2.910246308
AC006504.1	2.035187343	1.081985492	3.302482907	4.845328467	4.153079041	2.736847361	0.24873274	3.557731143	3.408559361	3.530941039	2.875758555	1.12909473	5.723675984	0.791997741	0.315364622	4.040885841	3.183886195	0.203117462	0.700406361
AC006504.5	4.139575481	3.838355389	3.203380632	6.463793485	3.414736219	5.435753092	3.043392562	4.311600139	4.740169868	4.559146168	5.184673683	2.951353586	4.949843499	3.435975596	3.33270356	4.664235856	5.423326495	2.86276944	3.189747334
AC007383.2	2.048701176	1.595940904	1.651062675	2.022436293	2.164190656	1.6877409	1.324985569	1.382330115	1.153834978	0.86332834	0.963252308	1.726688204	1.769436582	2.056929308	1.629577512	1.536602236	1.758928039	1.093475069	1.087416926
AC007485.2	1.739909452	2.674950745	2.296860574	3.076152364	2.571162542	2.348681346	1.661692254	2.153834167	2.688101479	1.808675117	1.944521387	1.754643422	1.592347035	1.710517988	1.302147412	1.925183619	1.990750302	1.328740063	1.739478781
AC007969.1	4.408601224	4.062789026	4.056541655	1.519044414	1.299087575	1.989264383	5.560531882	2.1690753	3.641445694	3.467061614	3.536140917	2.565973363	2.161829359	2.436947074	2.540204509	2.809045479	2.796778984	3.651398008	2.597714139
AC008038.1	4.23919724	4.172106959	4.728576978	2.366800718	2.334234786	2.249934598	5.143219656	3.700930042	3.641445694	3.756598634	3.285793167	3.63445912	3.568591683	4.294721588	3.558910723	3.723962515	3.507623957	4.070273049	3.181252596
AC008124.1	4.260646391	2.404369808	3.223259698	5.077531715	4.520751954	4.021357021	3.228549744	2.758282291	3.167596086	3.790210176	2.808634669	3.322107654	4.338234157	3.087050647	2.345889185	3.158215316	4.012799759	2.408364495	3.181252596
AC008443.1	3.576429596	3.581460507	2.268441298	5.048647143	3.126238026	3.30721788	1.090160949	3.00754758	1.748180956	1.671118808	1.792475174	2.607443857	2.420915293	3.206180935	2.432390182	2.382587766	3.04039153	2.186755846	2.766218283
AC008771.1	1.216837316	2.866341782	2.263649844	1.168249311	2.684772043	1.464533515	1.784972396	1.028394341	2.604467801	1.650351833	2.0644618	1.503239874	2.317436992	1.842484275	1.174108665	1.571843874	1.650141573	1.708296832	1.684438427
AC008966.1	1.84691468	2.349216405	2.670749093	3.021344627	1.69063399	1.81600536	1.024955328	2.153834167	1.728562824	1.916966164	2.247157572	1.578159142	2.402070038	1.973016692	2.037885357	2.140006408	2.110559052	1.924818007	3.449954127
AC008969.1	4.553883158	0.017794415	2.976225502	3.874852306	3.660106236	3.653272105	2.511992806	2.058842897	2.345818085	3.741950462	2.484008064	1.878383651	3.100154442	2.365610526	0.905037537	2.450433185	2.923721192	2.600421465	2.554516885
AC009053.2	2.83455537	2.694444032	2.699417752	3.821003007	2.304379643	3.064099976	2.690802881	1.847749251	2.708273719	1.607898983	2.792690756	2.363019085	2.812091495	1.687300462	1.596656718	2.36260255	1.779734504	2.488280556	3.178409865
AC009113.1	3.234053944	1.636817032	2.254018931	3.345935054	3.396658966	3.319895019	2.830923928	1.245242073	2.433250633	0.789274261	0.924757454	1.928329928	2.930798211	1.121398384	1.151618891	1.79702243	1.936192682	1.530964752	2.192577321
AC009120.2	2.525425368	1.752924447	2.068670252	3.455355337	1.383099166	2.362752229	0.956662521	1.355934854	0.584089598	0.826776401	1.522925947	1.535825655	1.512599511	1.43192047	1.105559444	1.766927114	0.914531072	1.895805877	2.17557112
AC009237.14	3.437801839	2.756699861	0.74066827	3.148885439	2.567576193	3.305397733	5.347041541	1.458736445	1.293903691	1.374593372	1.78174555	1.609113489	3.205351615	3.581599063	3.27144431	2.992543611	3.1403065	2.564001164	3.084352276
AC009237.3	3.292018908	2.066780017	0.346616401	3.519276534	3.167098442	3.360781132	2.463599297	0.888076399	1.748180956	1.033366273	0.622011077	0.581564832	4.107603171	2.25941466	1.841118083	3.527047087	2.928387394	1.741290007	2.406893822
AC009403.1	2.185481824	2.28820947	2.469077865	2.803930961	2.014177826	2.571010455	1.090160949	3.197902834	0.998690447	1.44862961	1.834613058	2.262759813	1.256966937	2.422959165	2.815236246	1.041356478	1.800245161	1.453442236	2.321858711
AC009506.2	2.479598092	1.578061696	1.636310901	2.188913538	1.876028223	1.624912082	1.703966998	1.577722557	2.123511492	0.585578742	0.823771527	1.251862065	2.708528296	1.539554833	0.822022008	1.356335653	1.748411188	0.931379958	0.716173097
AC009533.1	2.197664315	3.716980658	4.06757995	3.444644917	3.940776387	3.468806951	3.418243029	3.424366852	1.842459015	4.17530917	4.363476572	3.067348873	3.763288878	3.615818783	3.488873904	3.443892526	3.903293201	2.817076487	3.464029235
AC009779.3	3.11063158	2.431175464	2.418243333	2.609071176	2.363484612	2.813125099	2.887045831	2.517565267	3.038112717	1.95132919	2.183367441	3.340670361	3.320224525	3.139315447	2.918748961	2.572900709	3.931458898	2.687642074	2.83642668
